,1,2,3,4,5,6
280,0,-10,0,0,0,0
285,0,0,0,30,0,0
290,0,0,0,-90,0,0
293,0,0,0,0,100,0
296,0,0,90,0,0,0
299,0,100,0,0,0,0
313,70,0,0,0,0,0
317,0,0,0,0,0,-90
322,0,130,0,0,0,0
328,0,0,0,0,70,0
335,0,0,0,30,0,0
338,0,0,0,0,0,-70
340,0,0,0,0,70,0
342,0,0,0,-70,0,0
344,0,120,0,0,0,0
347,0,0,10,0,0,0
348,0,0,-40,0,0,0
356,0,0,0,0,30,0
358,0,0,0,0,0,10
362,0,0,0,-80,0,0
364,0,0,0,0,100,0
369,0,0,0,0,0,-60
373,0,0,0,-90,0,0
380,0,0,0,0,80,0
382,0,0,0,0,-50,0
388,100,0,0,0,0,0
389,0,0,0,0,0,70
399,0,0,-70,0,0,0
400,30,0,0,0,0,0
402,0,0,60,0,0,0
406,0,0,0,0,0,-70
415,0,0,0,0,60,0
416,160,0,0,0,0,0
417,30,0,0,0,0,0
421,0,0,0,0,20,0
423,0,0,0,0,-10,0
436,0,0,0,0,-60,0
440,80,0,0,0,0,0
441,0,0,0,0,20,0
442,0,0,0,0,0,10
448,0,140,0,0,0,0
460,0,0,0,0,100,0
465,0,0,0,0,-90,0
467,0,0,50,0,0,0
468,0,0,-40,0,0,0
471,0,0,0,0,-80,0
472,100,0,0,0,0,0
473,0,0,-70,0,0,0
478,0,0,0,0,0,-90
479,0,0,0,0,0,-60
480,0,0,0,0,10,0
482,0,0,40,0,0,0
486,0,0,40,0,0,0
488,0,0,0,30,0,0
491,0,0,0,0,0,-100
496,10,0,0,0,0,0
498,0,0,0,80,0,0
499,0,0,0,0,70,0
502,0,0,0,80,0,0
503,0,0,0,0,0,40
505,0,0,0,50,0,0
509,80,0,0,0,0,0
515,100,0,0,0,0,0
516,0,0,0,0,0,-30
518,110,0,0,0,0,0
520,100,0,0,0,0,0
524,0,0,-50,0,0,0
527,160,0,0,0,0,0
532,0,-50,0,0,0,0
533,0,0,0,0,-30,0
538,0,0,-50,0,0,0
539,10,0,0,0,0,0
542,0,0,60,0,0,0
548,0,0,0,0,30,0
549,0,0,0,0,-60,0
550,20,0,0,0,0,0
552,0,0,90,0,0,0
553,0,0,-50,0,0,0
561,0,0,30,0,0,0
562,0,0,30,0,0,0
563,190,0,0,0,0,0
564,0,0,0,100,0,0
565,0,0,-10,0,0,0
566,0,0,0,0,10,0
569,0,150,0,0,0,0
570,0,0,0,0,0,30
571,30,0,0,0,0,0
575,0,-40,0,0,0,0
576,0,0,0,10,0,0
581,0,0,-60,0,0,0
585,0,0,0,-50,0,0
591,0,0,0,-20,0,0
593,0,0,0,0,0,-100
595,60,0,0,0,0,0
597,0,0,0,0,-40,0
600,0,0,0,90,0,0
601,160,0,0,0,0,0
608,0,0,0,80,0,0
611,0,0,0,-100,0,0
615,120,0,0,0,0,0
616,0,0,30,0,0,0
618,180,0,0,0,0,0
621,0,0,0,0,-60,0
624,0,0,70,0,0,0
633,0,0,40,0,0,0
641,0,0,10,0,0,0
644,0,0,0,-70,0,0
647,0,0,0,-30,0,0
664,0,140,0,0,0,0
670,0,110,0,0,0,0
674,0,0,0,0,0,-90
675,0,0,0,0,0,40
680,150,0,0,0,0,0
682,0,0,-20,0,0,0
687,0,0,0,20,0,0
691,0,0,0,0,0,50
692,0,0,0,-30,0,0
695,0,0,0,0,0,-50
696,0,0,0,0,0,-10
699,0,10,0,0,0,0
709,0,0,-10,0,0,0
713,0,0,-20,0,0,0
718,0,0,0,0,0,-10
737,0,0,-40,0,0,0
738,0,0,0,-30,0,0
740,0,0,70,0,0,0
743,0,0,0,-80,0,0
747,120,0,0,0,0,0
749,0,0,0,0,0,30
752,120,0,0,0,0,0
769,0,0,0,0,-50,0
772,40,0,0,0,0,0
774,0,0,0,70,0,0
777,0,30,0,0,0,0
786,0,10,0,0,0,0
787,0,0,0,-40,0,0
792,0,0,0,0,-40,0
794,0,0,0,-10,0,0
800,0,70,0,0,0,0
802,0,0,-90,0,0,0
805,0,0,0,0,-30,0
806,0,0,0,0,100,0
811,0,0,0,0,0,-30
812,0,0,70,0,0,0
813,0,0,0,0,0,80
815,0,0,0,-10,0,0
821,0,0,40,0,0,0
823,0,0,0,-100,0,0
827,0,-20,0,0,0,0
837,0,0,0,0,0,-60
840,0,30,0,0,0,0
844,0,0,0,30,0,0
847,-10,0,0,0,0,0
858,150,0,0,0,0,0
864,0,100,0,0,0,0
866,0,100,0,0,0,0
868,-10,0,0,0,0,0
874,0,0,0,-80,0,0
875,50,0,0,0,0,0
876,0,0,-50,0,0,0
879,0,0,0,0,10,0
887,0,-40,0,0,0,0
891,0,0,30,0,0,0
894,140,0,0,0,0,0
898,0,130,0,0,0,0
900,-10,0,0,0,0,0
903,0,0,0,-70,0,0
907,0,0,90,0,0,0
909,0,0,0,0,0,60
912,0,-50,0,0,0,0
915,0,0,0,-20,0,0
916,0,0,0,0,0,-60
917,0,0,0,0,10,0
921,0,0,0,0,-90,0
925,40,0,0,0,0,0
931,0,0,0,0,70,0
932,130,0,0,0,0,0
935,0,0,0,100,0,0
937,160,0,0,0,0,0
943,0,0,0,0,-50,0
946,0,0,0,0,-50,0
949,0,0,0,0,-30,0
950,0,0,100,0,0,0
953,0,0,0,0,-60,0
956,90,0,0,0,0,0
957,0,0,0,-20,0,0
963,0,110,0,0,0,0
974,0,0,0,90,0,0
978,120,0,0,0,0,0
979,0,0,0,0,70,0
982,0,80,0,0,0,0
986,0,0,0,0,10,0
987,0,0,0,0,0,60
992,0,0,0,0,60,0
996,0,0,0,60,0,0
1003,0,0,0,0,0,10
1012,0,0,0,0,0,30
1013,0,0,0,0,-50,0
1016,0,0,0,0,30,0
1021,0,-30,0,0,0,0
1022,0,0,0,0,0,70
1024,0,0,0,0,0,40
1028,0,20,0,0,0,0
1030,-10,0,0,0,0,0
1032,0,80,0,0,0,0
1034,0,-10,0,0,0,0
1036,0,0,0,0,-50,0
1039,0,0,0,0,10,0
1043,0,0,0,0,0,10
1044,0,0,0,0,-100,0
1050,0,90,0,0,0,0
1051,0,-10,0,0,0,0
1053,0,0,0,60,0,0
1056,0,0,0,0,0,-90
1058,190,0,0,0,0,0
1061,0,0,0,0,-100,0
1062,0,0,-10,0,0,0
1064,160,0,0,0,0,0
1067,0,0,0,0,20,0
1069,0,0,0,0,-10,0
1079,0,0,90,0,0,0
1080,40,0,0,0,0,0
1084,0,0,0,0,0,-10
1086,0,0,0,0,-70,0
1088,0,0,0,0,0,-10
1092,0,0,0,0,80,0
1094,160,0,0,0,0,0
1096,0,0,0,-20,0,0
1098,0,0,0,0,0,-90
1107,0,0,0,0,0,-60
1112,0,0,0,0,70,0
1117,0,70,0,0,0,0
1118,-10,0,0,0,0,0
1119,0,0,0,-50,0,0
1121,0,0,-50,0,0,0
1122,0,0,0,0,0,30
1127,0,0,0,100,0,0
1130,0,80,0,0,0,0
1139,0,0,0,80,0,0
1140,0,0,0,0,-10,0
1144,0,90,0,0,0,0
1145,0,0,0,60,0,0
1147,0,0,0,0,-60,0
1150,0,0,0,0,90,0
1158,110,0,0,0,0,0
1159,0,0,0,0,70,0
1161,0,0,0,-80,0,0
1163,0,0,0,40,0,0
1164,0,0,10,0,0,0
1167,0,0,80,0,0,0
1170,0,0,0,0,0,50
1171,0,0,0,0,0,100
1172,20,0,0,0,0,0
1173,120,0,0,0,0,0
1177,0,0,0,50,0,0
1182,0,0,-80,0,0,0
1184,180,0,0,0,0,0
1197,0,0,0,60,0,0
1198,20,0,0,0,0,0
1199,0,0,0,-10,0,0
1203,0,0,0,0,0,30
1204,0,0,0,-60,0,0
1207,0,0,0,0,0,-40
1208,0,0,0,0,0,-70
1209,0,120,0,0,0,0
1212,0,0,0,30,0,0
1218,60,0,0,0,0,0
1220,0,0,0,-10,0,0
1221,0,0,0,0,0,-90
1222,0,0,-90,0,0,0
1223,0,0,0,0,0,30
1227,0,0,0,0,70,0
1229,50,0,0,0,0,0
1234,0,40,0,0,0,0
1237,0,0,0,0,-80,0
1239,0,-50,0,0,0,0
1240,0,0,0,0,0,-30
1241,0,0,110,0,0,0
1242,70,0,0,0,0,0
1245,0,0,0,0,0,-50
1251,0,0,50,0,0,0
1252,0,150,0,0,0,0
1253,0,0,0,0,-100,0
1255,120,0,0,0,0,0
1261,0,0,0,20,0,0
1266,0,120,0,0,0,0
1269,0,-10,0,0,0,0
1271,0,0,0,0,0,-70
1276,0,0,0,-10,0,0
1278,0,0,0,0,90,0
1280,0,0,-30,0,0,0
1294,190,0,0,0,0,0
1304,0,0,10,0,0,0
1311,0,0,0,0,0,-100
1315,0,0,-10,0,0,0
1316,20,0,0,0,0,0
1318,40,0,0,0,0,0
1319,0,0,0,0,-30,0
1320,0,0,50,0,0,0
1324,0,40,0,0,0,0
1325,0,0,10,0,0,0
1327,0,0,0,0,10,0
1330,0,10,0,0,0,0
1332,50,0,0,0,0,0
1334,60,0,0,0,0,0
1342,0,150,0,0,0,0
1343,0,0,0,-40,0,0
1351,0,0,0,-50,0,0
1357,0,0,0,60,0,0
1363,0,0,0,0,30,0
1366,80,0,0,0,0,0
1375,0,-10,0,0,0,0
1380,0,0,0,-50,0,0
1383,0,0,30,0,0,0
1396,70,0,0,0,0,0
1409,0,0,0,40,0,0
1411,0,0,0,60,0,0
1414,0,-30,0,0,0,0
1416,170,0,0,0,0,0
1417,0,40,0,0,0,0
1421,0,0,0,0,-50,0
1428,0,20,0,0,0,0
1431,140,0,0,0,0,0
1433,0,-10,0,0,0,0
1434,170,0,0,0,0,0
1441,0,0,0,0,-90,0
1442,0,100,0,0,0,0
1443,0,0,90,0,0,0
1452,0,0,0,0,-100,0
1456,0,0,-90,0,0,0
1459,0,0,0,0,10,0
1461,0,0,0,0,-80,0
1463,0,0,0,40,0,0
1466,0,80,0,0,0,0
1469,0,0,0,-90,0,0
1470,0,-30,0,0,0,0
1474,0,0,0,0,-40,0
1475,0,0,-40,0,0,0
1476,0,0,0,-80,0,0
1477,0,0,0,50,0,0
1478,0,0,0,0,-90,0
1481,0,0,70,0,0,0
1485,0,0,0,-60,0,0
1491,0,0,0,0,0,-40
1496,0,0,0,0,0,80
1498,-10,0,0,0,0,0
1501,100,0,0,0,0,0
1503,0,0,0,-30,0,0
1504,0,0,0,0,0,50
1505,0,0,0,-70,0,0
1519,0,0,0,0,0,70
1520,0,0,-70,0,0,0
1525,0,0,0,0,0,40
1530,0,0,0,0,40,0
1536,0,0,0,0,0,-50
1537,0,120,0,0,0,0
1541,0,0,0,0,0,-80
1543,0,30,0,0,0,0
1544,0,0,0,50,0,0
1545,130,0,0,0,0,0
1548,0,0,10,0,0,0
1550,0,0,70,0,0,0
1556,0,0,0,-50,0,0
1557,0,0,0,0,0,90
1558,0,0,0,90,0,0
1559,0,150,0,0,0,0
1560,180,0,0,0,0,0
1563,10,0,0,0,0,0
1570,0,0,0,0,-90,0
1572,0,0,110,0,0,0
1573,0,0,0,0,0,70
1584,0,-50,0,0,0,0
1588,140,0,0,0,0,0
1595,160,0,0,0,0,0
1597,0,150,0,0,0,0
1598,0,0,0,0,0,-40
1599,0,0,80,0,0,0
1601,0,0,0,10,0,0
1606,0,0,90,0,0,0
1607,0,0,0,0,-60,0
1608,0,0,-90,0,0,0
1613,0,0,80,0,0,0
1615,0,-20,0,0,0,0
1620,0,0,110,0,0,0
1624,50,0,0,0,0,0
1627,0,0,90,0,0,0
1628,0,-40,0,0,0,0
1637,0,150,0,0,0,0
1647,0,150,0,0,0,0
1648,0,0,0,0,0,-20
1649,0,0,0,0,0,-80
1651,50,0,0,0,0,0
1658,0,0,0,0,0,-40
1660,0,0,0,-40,0,0
1667,0,0,0,0,100,0
1668,20,0,0,0,0,0
1672,0,0,0,0,-100,0
1676,0,0,0,0,50,0
1680,0,0,0,40,0,0
1686,80,0,0,0,0,0
1697,0,0,-70,0,0,0
1702,0,0,50,0,0,0
1705,0,60,0,0,0,0
1708,0,0,-10,0,0,0
1710,0,0,0,-50,0,0
1711,0,0,0,-100,0,0
1718,0,0,0,-40,0,0
1720,30,0,0,0,0,0
1721,0,0,0,70,0,0
1728,0,0,0,60,0,0
1732,120,0,0,0,0,0
1734,0,0,0,0,0,-30
1735,0,0,110,0,0,0
1737,0,40,0,-40,0,40
1738,0,20,20,-20,-20,40
1741,160,0,0,0,0,0
1744,0,0,0,-50,0,0
1746,0,0,40,40,40,0
1750,0,0,0,0,0,100
1754,0,0,0,0,90,0
1757,30,0,0,0,0,0
1758,0,0,-50,0,0,0
1764,0,0,0,20,-20,0
1768,0,0,0,-10,0,0
1769,130,0,0,0,0,0
1771,0,0,0,-60,0,0
1773,0,0,0,70,0,0
1774,0,0,0,100,0,0
1775,0,0,0,70,0,0
1776,0,0,0,0,-90,0
1778,30,0,0,0,0,0
1788,40,0,0,0,0,0
1790,40,-40,20,20,0,-40
1793,20,0,0,0,0,0
1795,0,20,20,0,20,0
1796,40,0,-20,-40,0,0
1799,0,-20,0,-20,0,-20
1803,0,0,0,100,0,0
1811,0,0,0,0,0,10
1812,0,150,0,0,0,0
1818,60,0,0,0,0,0
1821,0,0,0,-20,-20,0
1829,0,-40,40,0,40,-40
1830,0,0,0,0,30,0
1832,0,20,40,20,20,20
1837,0,0,0,-100,0,0
1839,40,0,40,-40,-20,-40
1840,0,0,0,0,0,-70
1845,40,-40,40,0,-40,0
1846,0,20,-20,0,0,-20
1849,0,0,70,0,0,0
1852,0,0,0,0,10,0
1855,40,-20,-40,40,-20,-20
1856,0,0,0,0,0,-10
1860,20,-20,-20,-20,-20,0
1862,0,60,0,0,0,0
1867,0,0,100,0,0,0
1874,0,0,40,0,0,0
1876,0,40,-40,-20,-40,-40
1878,40,-40,-40,-20,0,-40
1880,0,0,20,0,0,-20
1882,0,0,-40,0,20,40
1884,0,0,-40,0,0,0
1885,0,-20,0,0,0,0
1886,0,0,0,0,0,-40
1894,-10,0,0,0,0,0
1896,120,0,0,0,0,0
1897,0,0,0,70,0,0
1898,0,0,0,0,0,20
1903,0,0,0,0,-20,40
1905,0,30,0,0,0,0
1914,0,0,-40,0,40,20
1919,0,90,0,0,0,0
1922,0,80,0,0,0,0
1924,190,0,0,0,0,0
1925,20,0,0,0,0,0
1926,0,0,0,-60,0,0
1928,40,0,0,40,20,0
1930,0,0,-20,40,0,0
1931,110,0,0,0,0,0
1932,0,0,0,-70,0,0
1939,0,40,0,0,40,0
1947,0,120,0,0,0,0
1950,0,60,0,0,0,0
1951,0,0,0,0,0,-40
1952,0,0,0,-40,0,0
1954,0,0,0,0,-70,0
1960,0,0,0,0,-90,0
1963,0,0,-40,40,0,-40
1969,20,-20,-20,-20,-20,20
1972,0,0,0,-100,0,0
1974,0,0,0,0,0,-90
1975,0,0,0,0,0,-10
1976,0,0,0,-30,0,0
1978,30,0,0,0,0,0
1979,0,0,100,0,0,0
1982,170,0,0,0,0,0
1983,130,0,0,0,0,0
1985,0,0,0,10,0,0
1990,110,0,0,0,0,0
1991,0,0,0,0,-90,0
1993,0,90,0,0,0,0
1994,90,0,0,0,0,0
1996,0,0,20,40,0,40
1997,0,0,0,0,30,0
1998,0,30,0,0,0,0
2001,0,40,-20,0,-20,-20
2008,0,0,0,0,0,-100
2009,0,0,90,0,0,0
2010,0,0,0,-50,0,0
2012,0,-10,0,0,0,0
2014,0,0,0,40,0,0
2020,20,40,-40,20,20,20
2021,0,0,-20,40,-40,0
2022,0,0,0,0,10,0
2026,0,20,0,0,0,0
2028,0,-40,0,0,0,0
2030,20,0,-20,0,20,-20
2037,0,-40,-40,20,0,0
2040,0,0,110,0,0,0
2041,150,0,0,0,0,0
2043,40,40,-40,0,-20,20
2046,20,-20,-20,-40,-20,0
2056,0,20,20,-20,0,0
2057,0,0,0,-70,0,0
2063,30,0,0,0,0,0
2067,0,0,70,0,0,0
2068,0,0,60,0,0,0
2069,10,0,0,0,0,0
2070,0,0,0,0,0,-80
2072,40,40,40,0,40,-20
2073,0,0,0,0,40,40
2074,110,0,0,0,0,0
2078,0,0,-50,0,0,0
2079,0,0,-70,0,0,0
2080,0,0,0,0,0,-40
2081,20,40,-20,20,20,20
2088,0,0,0,0,50,0
2089,0,140,0,0,0,0
2090,0,-40,-20,-20,20,-20
2091,0,-30,0,0,0,0
2092,0,0,10,0,0,0
2102,120,0,0,0,0,0
2103,0,0,0,0,0,90
2107,40,20,-40,-20,0,-40
2108,0,-20,0,0,20,0
2109,40,0,-20,-40,-40,0
2110,0,0,-40,0,0,0
2112,0,-20,40,-20,-20,20
2116,140,0,0,0,0,0
2117,0,0,10,0,0,0
2121,0,10,0,0,0,0
2123,40,0,0,0,0,-40
2124,0,0,0,0,20,20
2126,130,0,0,0,0,0
2127,0,-20,-40,0,0,-20
2128,90,0,0,0,0,0
2133,40,0,40,0,0,-40
2134,0,0,0,0,0,10
2140,0,0,0,0,-40,0
2144,0,130,0,0,0,0
2146,0,0,0,50,0,0
2147,0,0,-40,40,-40,-40
2148,0,0,0,0,40,0
2149,0,0,0,0,90,0
2156,20,20,20,-20,40,-20
2159,0,10,0,0,0,0
2161,0,0,20,0,0,-20
2165,0,-50,0,0,0,0
2168,0,-20,0,0,0,0
2172,0,0,0,0,-60,0
2182,0,0,0,10,0,0
2183,130,0,0,0,0,0
2184,0,0,0,0,0,10
2187,0,-40,-40,40,-20,0
2194,0,0,-40,0,0,0
2195,140,0,0,0,0,0
2196,0,0,0,0,0,-60
2211,0,-50,0,0,0,0
2213,0,0,0,0,0,-10
2216,40,20,-20,20,20,20
2217,0,0,0,20,0,0
2219,20,-40,-20,-20,-20,20
2223,0,0,0,0,-90,0
2229,0,0,0,-40,0,0
2231,-10,0,0,0,0,0
2238,0,50,0,0,0,0
2240,100,0,0,0,0,0
2241,0,0,0,20,0,0
2246,0,-50,0,0,0,0
2247,20,-40,20,40,-20,-40
2250,0,0,0,-60,0,0
2252,40,0,0,0,0,20
2253,0,0,0,0,-60,0
2255,0,0,0,60,0,0
2257,0,0,0,0,-90,0
2259,0,0,0,-20,-20,0
2261,60,0,0,0,0,0
2264,0,0,0,30,0,0
2267,0,20,40,20,0,0
2271,0,70,0,0,0,0
2273,0,0,50,0,0,0
2275,0,40,-40,-40,-40,0
2288,0,0,0,0,0,-40
2290,0,0,-10,0,0,0
2293,0,0,0,0,10,0
2297,0,0,0,0,70,0
2301,0,0,20,0,0,0
2302,0,0,0,80,0,0
2306,0,50,0,0,0,0
2311,0,0,0,-60,0,0
2312,0,0,0,0,20,0
2313,0,0,0,0,-80,0
2314,0,0,0,40,0,0
2317,0,0,40,0,0,0
2318,0,0,-90,0,0,0
2322,20,-20,0,0,0,0
2324,0,0,0,0,-60,0
2330,0,-30,0,0,0,0
2338,0,0,0,0,30,0
2342,0,0,-10,0,0,0
2343,0,-20,-20,20,20,40
2349,0,100,0,0,0,0
2351,0,0,-30,0,0,0
2352,0,120,0,0,0,0
2360,0,-40,40,-40,40,-20
2365,0,0,30,0,0,0
2366,40,0,-40,-40,40,-20
2370,0,-40,-40,20,20,20
2371,0,0,0,0,70,0
2374,0,140,0,0,0,0
2376,60,0,0,0,0,0
2379,0,40,0,0,0,0
2381,0,-20,0,0,0,0
2383,20,20,0,-20,-20,20
2386,0,140,0,0,0,0
2387,70,0,0,0,0,0
2389,0,0,0,-10,0,0
2395,140,0,0,0,0,0
2397,0,0,0,0,70,0
2398,0,0,90,0,0,0
2400,0,0,0,0,-70,0
2401,40,0,-40,40,-20,40
2403,0,0,0,-70,0,0
2407,20,20,-40,-20,0,20
2409,0,0,0,0,50,0
2418,0,0,0,100,0,0
2421,0,0,-50,0,0,0
2430,40,-40,-20,20,-20,-40
2431,0,0,0,0,10,0
2432,0,0,-50,0,0,0
2433,20,0,0,0,0,20
2436,0,0,0,-90,0,0
2439,0,0,0,0,0,100
2444,20,-20,40,40,20,40
2448,0,60,0,0,0,0
2449,0,0,0,0,-100,0
2452,0,0,40,0,0,0
2453,0,-40,-40,-40,40,0
2455,-10,0,0,0,0,0
2457,80,0,0,0,0,0
2463,40,40,-20,0,40,20
2468,0,0,-30,0,0,0
2470,0,-40,0,0,0,0
2471,80,0,0,0,0,0
2472,50,0,0,0,0,0
2473,0,0,100,0,0,0
2474,0,20,0,0,0,0
2477,10,0,0,0,0,0
2479,40,40,0,0,40,-40
2482,40,0,0,0,0,0
2485,0,0,0,20,-40,40
2486,0,110,0,0,0,0
2487,0,-50,0,0,0,0
2490,40,20,40,-40,20,20
2491,0,0,0,0,-60,0
2492,0,0,0,0,0,60
2494,0,0,0,0,0,-10
2495,0,0,80,0,0,0
2496,0,110,0,0,0,0
2498,110,0,0,0,0,0
2499,0,0,-90,0,0,0
2501,20,0,20,20,40,-20
2504,150,0,0,0,0,0
2509,0,0,-60,0,0,0
2515,0,0,0,0,-70,0
2517,0,150,0,0,0,0
2518,0,0,90,0,0,0
2521,0,0,0,0,20,0
2523,130,0,0,0,0,0
2525,0,0,0,100,0,0
2526,0,20,-20,0,0,-40
2527,20,-40,0,0,-40,40
2531,0,0,0,0,0,90
2539,180,0,0,0,0,0
2542,0,0,0,0,-80,0
2548,0,0,0,0,0,-40
2550,0,120,0,0,0,0
2551,190,0,0,0,0,0
2552,20,-40,40,20,0,40
2553,0,0,70,0,0,0
2556,40,0,-40,-40,0,-40
2562,0,0,0,0,80,0
2563,40,40,-20,40,-40,0
2564,0,40,0,0,0,0
2565,10,0,0,0,0,0
2571,0,0,0,30,0,0
2572,0,0,30,0,0,0
2573,0,0,90,0,0,0
2574,20,-20,0,0,0,0
2578,0,-20,0,0,0,0
2579,0,150,0,0,0,0
2589,0,0,0,-70,0,0
2591,0,20,20,20,-20,-20
2593,0,0,0,-50,0,0
2594,0,0,20,0,0,0
2595,0,0,-40,20,-20,-40
2596,0,20,40,-40,40,0
2602,0,0,0,0,-10,0
2603,0,40,0,40,-20,-20
2604,0,0,0,-60,0,0
2605,90,0,0,0,0,0
2609,170,0,0,0,0,0
2611,0,0,0,0,0,50
2612,0,0,-10,0,0,0
2614,0,50,0,0,0,0
2615,40,0,0,0,40,0
2617,0,0,0,0,70,0
2623,0,0,0,-90,0,0
2624,0,0,-60,0,0,0
2628,40,0,40,20,0,0
2629,0,0,0,-70,0,0
2630,0,150,0,0,0,0
2632,0,0,110,0,0,0
2633,0,0,-80,0,0,0
2634,0,0,0,-30,0,0
2638,0,0,0,0,70,0
2639,0,0,0,90,0,0
2645,0,0,0,0,0,30
2646,0,0,0,0,-50,0
2651,0,0,0,0,0,40
2654,0,0,0,-20,0,0
2655,0,0,20,0,-20,0
2656,0,0,0,0,100,0
2657,0,0,0,0,0,50
2661,0,0,0,60,0,0
2664,90,0,0,0,0,0
2665,0,0,-10,0,0,0
2667,0,0,0,0,0,-80
2668,0,80,0,0,0,0
2670,0,-40,0,0,0,0
2671,0,0,0,0,90,0
2672,0,-30,0,0,0,0
2673,40,-40,0,-40,-40,0
2674,0,90,0,0,0,0
2675,0,0,0,0,0,-60
2679,0,0,50,0,0,0
2680,0,0,90,0,0,0
2682,20,20,20,-20,-40,-20
2683,0,0,0,-70,0,0
2684,0,0,0,0,0,40
2686,0,0,0,60,0,0
2689,20,0,0,0,0,0
2690,0,0,20,20,0,0
2691,0,0,0,50,0,0
2692,190,0,0,0,0,0
2695,0,0,0,-80,0,0
2698,0,40,0,0,0,0
2699,0,0,0,0,20,-20
2700,0,0,0,-90,0,0
2706,0,0,0,0,0,20
2707,0,0,0,-20,0,0
2713,0,40,0,0,0,0
2716,0,130,0,0,0,0
2718,0,-50,0,0,0,0
2719,0,0,0,0,100,0
2720,0,140,0,0,0,0
2721,0,0,0,-90,0,0
2730,150,0,0,0,0,0
2731,0,0,0,100,0,0
2732,0,0,0,0,0,80
2734,0,0,110,0,0,0
2735,0,0,0,-100,0,0
2736,0,0,0,0,-10,0
2737,0,130,0,0,0,0
2738,0,0,0,0,0,-30
2740,0,140,0,0,0,0
2741,0,0,0,-10,0,0
2742,0,-40,20,0,20,0
2744,0,0,0,0,0,100
2745,0,0,0,0,0,90
2750,0,0,0,0,0,70
2751,0,-20,0,0,0,0
2766,0,0,0,0,-50,0
2767,0,110,0,0,0,0
2773,0,0,0,0,0,40
2774,0,60,0,0,0,0
2775,140,0,0,0,0,0
2776,0,0,0,20,-20,0
2777,0,0,0,0,0,100
2778,80,0,0,0,0,0
2779,0,0,80,0,0,0
2781,60,0,0,0,0,0
2783,30,0,0,0,0,0
2784,0,0,0,80,0,0
2790,40,0,-40,0,0,0
2792,0,60,0,0,0,0
2793,20,0,0,-20,-20,0
2797,160,0,0,0,0,0
2801,0,0,0,0,0,50
2805,0,0,40,0,0,0
2806,0,0,0,0,0,40
2809,0,-40,0,0,0,0
2811,90,0,0,0,0,0
2816,0,0,50,0,0,0
2817,140,0,0,0,0,0
2818,0,90,0,0,0,0
2819,0,0,0,0,0,-10
2821,0,0,0,0,0,50
2823,0,0,-80,0,0,0
2824,0,0,0,0,40,0
2825,-10,0,0,0,0,0
2830,30,0,0,0,0,0
2831,0,0,0,60,0,0
2832,0,0,0,0,0,-60
2833,0,0,-70,0,0,0
2834,0,40,0,-40,0,20
2836,0,0,-80,0,0,0
2837,0,0,-50,0,0,0
2838,0,0,0,-80,0,0
2843,0,0,0,-40,0,-20
2845,0,0,0,-90,0,0
